"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E07000140","South Holland","E01032995","South Holland 006F",120000
"E07000140","South Holland","E01026266","South Holland 006B",120000
"E07000140","South Holland","E01026250","South Holland 003A",132750
"E07000140","South Holland","E01026264","South Holland 009C",135000
"E07000140","South Holland","E01026277","South Holland 008D",135748
"E07000140","South Holland","E01026279","South Holland 008F",138000
"E07000140","South Holland","E01026271","South Holland 007D",138500
"E07000140","South Holland","E01026259","South Holland 005C",152498
"E07000140","South Holland","E01026253","South Holland 003D",155000
"E07000140","South Holland","E01026255","South Holland 008B",158475
"E07000140","South Holland","E01026278","South Holland 008E",159000
"E07000140","South Holland","E01026270","South Holland 007C",159950
"E07000140","South Holland","E01026267","South Holland 009E",160000
"E07000140","South Holland","E01026256","South Holland 008C",160500
"E07000140","South Holland","E01026243","South Holland 001B",162475
"E07000140","South Holland","E01026242","South Holland 001A",164500
"E07000140","South Holland","E01026265","South Holland 009D",164950
"E07000140","South Holland","E01026260","South Holland 005D",165000
"E07000140","South Holland","E01026275","South Holland 006E",167998
"E07000140","South Holland","E01026268","South Holland 007A",171500
"E07000140","South Holland","E01026273","South Holland 006C",174995
"E07000140","South Holland","E01026263","South Holland 009B",175000
"E07000140","South Holland","E01026285","South Holland 004D",175000
"E07000140","South Holland","E01026274","South Holland 006D",175498
"E07000140","South Holland","E01026244","South Holland 001C",175750
"E07000140","South Holland","E01026247","South Holland 001D",177500
"E07000140","South Holland","E01026262","South Holland 009A",177500
"E07000140","South Holland","E01026252","South Holland 003C",178000
"E07000140","South Holland","E01026269","South Holland 007B",180000
"E07000140","South Holland","E01026258","South Holland 005B",184995
"E07000140","South Holland","E01026280","South Holland 010C",185000
"E07000140","South Holland","E01026251","South Holland 003B",186250
"E07000140","South Holland","E01026257","South Holland 002C",189000
"E07000140","South Holland","E01026246","South Holland 002A",189995
"E07000140","South Holland","E01026282","South Holland 004B",193750
"E07000140","South Holland","E01026248","South Holland 002B",201750
"E07000140","South Holland","E01026245","South Holland 010A",202750
"E07000140","South Holland","E01026272","South Holland 007E",203750
"E07000140","South Holland","E01026239","South Holland 011A",205000
"E07000140","South Holland","E01026254","South Holland 008A",205000
"E07000140","South Holland","E01026283","South Holland 004C",205000
"E07000140","South Holland","E01026241","South Holland 005A",210000
"E07000140","South Holland","E01032996","South Holland 006G",210000
"E07000140","South Holland","E01026286","South Holland 004E",213000
"E07000140","South Holland","E01026284","South Holland 011C",220000
"E07000140","South Holland","E01026240","South Holland 011B",230000
"E07000140","South Holland","E01026276","South Holland 001E",240000
"E07000140","South Holland","E01026281","South Holland 004A",256500
"E07000140","South Holland","E01026249","South Holland 010B",259500
