"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"W06000001","Isle of Anglesey","W01000024","Isle of Anglesey 007E",85000
"W06000001","Isle of Anglesey","W01000016","Isle of Anglesey 003A",89000
"W06000001","Isle of Anglesey","W01000036","Isle of Anglesey 003F",95500
"W06000001","Isle of Anglesey","W01000029","Isle of Anglesey 003C",110000
"W06000001","Isle of Anglesey","W01000030","Isle of Anglesey 003D",116000
"W06000001","Isle of Anglesey","W01000017","Isle of Anglesey 003B",119000
"W06000001","Isle of Anglesey","W01000033","Isle of Anglesey 003E",119000
"W06000001","Isle of Anglesey","W01000023","Isle of Anglesey 007D",123500
"W06000001","Isle of Anglesey","W01000027","Isle of Anglesey 009C",123500
"W06000001","Isle of Anglesey","W01000003","Isle of Anglesey 001A",131500
"W06000001","Isle of Anglesey","W01000022","Isle of Anglesey 004A",132500
"W06000001","Isle of Anglesey","W01000043","Isle of Anglesey 004E",137250
"W06000001","Isle of Anglesey","W01000025","Isle of Anglesey 009B",139000
"W06000001","Isle of Anglesey","W01000014","Isle of Anglesey 006C",140000
"W06000001","Isle of Anglesey","W01000034","Isle of Anglesey 004B",140000
"W06000001","Isle of Anglesey","W01000009","Isle of Anglesey 007C",153000
"W06000001","Isle of Anglesey","W01000035","Isle of Anglesey 005E",155000
"W06000001","Isle of Anglesey","W01000044","Isle of Anglesey 004F",155500
"W06000001","Isle of Anglesey","W01000028","Isle of Anglesey 001D",159950
"W06000001","Isle of Anglesey","W01000042","Isle of Anglesey 008D",164000
"W06000001","Isle of Anglesey","W01000031","Isle of Anglesey 001E",165000
"W06000001","Isle of Anglesey","W01000037","Isle of Anglesey 003G",165000
"W06000001","Isle of Anglesey","W01000015","Isle of Anglesey 008C",168000
"W06000001","Isle of Anglesey","W01000021","Isle of Anglesey 002C",168500
"W06000001","Isle of Anglesey","W01000038","Isle of Anglesey 009D",174238
"W06000001","Isle of Anglesey","W01000012","Isle of Anglesey 006B",175000
"W06000001","Isle of Anglesey","W01000006","Isle of Anglesey 006A",175500
"W06000001","Isle of Anglesey","W01000026","Isle of Anglesey 005D",177500
"W06000001","Isle of Anglesey","W01000010","Isle of Anglesey 002A",179975
"W06000001","Isle of Anglesey","W01000011","Isle of Anglesey 008B",185000
"W06000001","Isle of Anglesey","W01000018","Isle of Anglesey 001C",185000
"W06000001","Isle of Anglesey","W01000008","Isle of Anglesey 008A",186000
"W06000001","Isle of Anglesey","W01000005","Isle of Anglesey 005A",200000
"W06000001","Isle of Anglesey","W01000007","Isle of Anglesey 009A",202500
"W06000001","Isle of Anglesey","W01000019","Isle of Anglesey 005C",205000
"W06000001","Isle of Anglesey","W01000039","Isle of Anglesey 004C",217475
"W06000001","Isle of Anglesey","W01000013","Isle of Anglesey 005B",226000
"W06000001","Isle of Anglesey","W01000004","Isle of Anglesey 001B",227500
"W06000001","Isle of Anglesey","W01000020","Isle of Anglesey 002B",230000
"W06000001","Isle of Anglesey","W01000002","Isle of Anglesey 007B",240000
"W06000001","Isle of Anglesey","W01000032","Isle of Anglesey 002D",260000
"W06000001","Isle of Anglesey","W01000001","Isle of Anglesey 007A",275000
"W06000001","Isle of Anglesey","W01000040","Isle of Anglesey 004D",280000
"W06000001","Isle of Anglesey","W01000041","Isle of Anglesey 006D",NA
