"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E06000027","Torbay","E01015217","Torbay 008A",103500
"E06000027","Torbay","E01015233","Torbay 014D",107475
"E06000027","Torbay","E01015231","Torbay 014B",119000
"E06000027","Torbay","E01015257","Torbay 004A",121500
"E06000027","Torbay","E01015261","Torbay 008D",131500
"E06000027","Torbay","E01015256","Torbay 008C",132250
"E06000027","Torbay","E01015219","Torbay 015A",133500
"E06000027","Torbay","E01015214","Torbay 006A",135000
"E06000027","Torbay","E01015216","Torbay 006C",140000
"E06000027","Torbay","E01015240","Torbay 005A",140000
"E06000027","Torbay","E01015266","Torbay 001E",142000
"E06000027","Torbay","E01015239","Torbay 002D",142500
"E06000027","Torbay","E01015259","Torbay 004C",146500
"E06000027","Torbay","E01015263","Torbay 001B",147000
"E06000027","Torbay","E01015260","Torbay 004D",148000
"E06000027","Torbay","E01015215","Torbay 006B",150000
"E06000027","Torbay","E01015242","Torbay 005C",150000
"E06000027","Torbay","E01015234","Torbay 014E",152000
"E06000027","Torbay","E01015210","Torbay 019B",157000
"E06000027","Torbay","E01015206","Torbay 012E",160000
"E06000027","Torbay","E01015228","Torbay 011E",161000
"E06000027","Torbay","E01015196","Torbay 013G",161500
"E06000027","Torbay","E01015192","Torbay 013C",162500
"E06000027","Torbay","E01015241","Torbay 005B",164000
"E06000027","Torbay","E01015248","Torbay 018E",164000
"E06000027","Torbay","E01015212","Torbay 019C",166000
"E06000027","Torbay","E01015229","Torbay 014A",166500
"E06000027","Torbay","E01015238","Torbay 002C",168000
"E06000027","Torbay","E01015255","Torbay 008B",169475
"E06000027","Torbay","E01015204","Torbay 012C",169950
"E06000027","Torbay","E01015191","Torbay 013B",173500
"E06000027","Torbay","E01015262","Torbay 001A",173500
"E06000027","Torbay","E01015237","Torbay 002B",174000
"E06000027","Torbay","E01015185","Torbay 017C",175000
"E06000027","Torbay","E01015186","Torbay 017D",177750
"E06000027","Torbay","E01015232","Torbay 014C",178000
"E06000027","Torbay","E01015270","Torbay 010D",178750
"E06000027","Torbay","E01015250","Torbay 003B",179500
"E06000027","Torbay","E01015205","Torbay 012D",180000
"E06000027","Torbay","E01015194","Torbay 013E",182000
"E06000027","Torbay","E01015235","Torbay 014F",183500
"E06000027","Torbay","E01015218","Torbay 006D",183750
"E06000027","Torbay","E01015207","Torbay 019E",184950
"E06000027","Torbay","E01015193","Torbay 013D",186000
"E06000027","Torbay","E01015189","Torbay 017G",187000
"E06000027","Torbay","E01015245","Torbay 018B",187000
"E06000027","Torbay","E01015258","Torbay 004B",190000
"E06000027","Torbay","E01015213","Torbay 019D",193500
"E06000027","Torbay","E01015221","Torbay 015C",195000
"E06000027","Torbay","E01015209","Torbay 019A",197000
"E06000027","Torbay","E01015246","Torbay 018C",200000
"E06000027","Torbay","E01015249","Torbay 003A",200000
"E06000027","Torbay","E01015252","Torbay 003D",205000
"E06000027","Torbay","E01015223","Torbay 015E",208000
"E06000027","Torbay","E01015200","Torbay 016D",210000
"E06000027","Torbay","E01015222","Torbay 015D",210000
"E06000027","Torbay","E01015247","Torbay 018D",213750
"E06000027","Torbay","E01015267","Torbay 010A",214500
"E06000027","Torbay","E01015244","Torbay 018A",215000
"E06000027","Torbay","E01015227","Torbay 011D",218500
"E06000027","Torbay","E01015243","Torbay 005D",218500
"E06000027","Torbay","E01015183","Torbay 017A",220000
"E06000027","Torbay","E01015188","Torbay 017F",221000
"E06000027","Torbay","E01015202","Torbay 012A",221000
"E06000027","Torbay","E01015224","Torbay 011A",222500
"E06000027","Torbay","E01015264","Torbay 001C",222500
"E06000027","Torbay","E01015211","Torbay 019G",225000
"E06000027","Torbay","E01015225","Torbay 011B",225000
"E06000027","Torbay","E01015236","Torbay 002A",225000
"E06000027","Torbay","E01015198","Torbay 016B",240000
"E06000027","Torbay","E01015269","Torbay 010C",240000
"E06000027","Torbay","E01015190","Torbay 013A",244975
"E06000027","Torbay","E01015184","Torbay 017B",245000
"E06000027","Torbay","E01015230","Torbay 011F",249250
"E06000027","Torbay","E01015195","Torbay 013F",249950
"E06000027","Torbay","E01015203","Torbay 012B",251500
"E06000027","Torbay","E01015220","Torbay 015B",252500
"E06000027","Torbay","E01015253","Torbay 003E",259975
"E06000027","Torbay","E01015254","Torbay 003F",265000
"E06000027","Torbay","E01015265","Torbay 001D",265000
"E06000027","Torbay","E01015187","Torbay 017E",268950
"E06000027","Torbay","E01015226","Torbay 011C",269975
"E06000027","Torbay","E01015268","Torbay 010B",272500
"E06000027","Torbay","E01015251","Torbay 003C",276250
"E06000027","Torbay","E01015197","Torbay 016A",283500
"E06000027","Torbay","E01015201","Torbay 016E",310000
"E06000027","Torbay","E01015208","Torbay 019F",340500
"E06000027","Torbay","E01015199","Torbay 016C",362500
"E06000027","Torbay","E01015271","Torbay 010E",415000
