"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"W06000010","Carmarthenshire","W01000734","Carmarthenshire 026F",66500
"W06000010","Carmarthenshire","W01000732","Carmarthenshire 026D",75000
"W06000010","Carmarthenshire","W01000718","Carmarthenshire 010D",80000
"W06000010","Carmarthenshire","W01000733","Carmarthenshire 026E",80000
"W06000010","Carmarthenshire","W01000703","Carmarthenshire 022A",82500
"W06000010","Carmarthenshire","W01000638","Carmarthenshire 007B",82750
"W06000010","Carmarthenshire","W01000707","Carmarthenshire 025D",85000
"W06000010","Carmarthenshire","W01000717","Carmarthenshire 016E",85000
"W06000010","Carmarthenshire","W01001924","Carmarthenshire 026H",85250
"W06000010","Carmarthenshire","W01000629","Carmarthenshire 024B",87000
"W06000010","Carmarthenshire","W01000697","Carmarthenshire 015A",87098
"W06000010","Carmarthenshire","W01000631","Carmarthenshire 024D",88000
"W06000010","Carmarthenshire","W01000655","Carmarthenshire 020C",88000
"W06000010","Carmarthenshire","W01000652","Carmarthenshire 020B",90000
"W06000010","Carmarthenshire","W01000656","Carmarthenshire 010A",90000
"W06000010","Carmarthenshire","W01000632","Carmarthenshire 021A",90500
"W06000010","Carmarthenshire","W01000654","Carmarthenshire 023B",93000
"W06000010","Carmarthenshire","W01000660","Carmarthenshire 026B",93000
"W06000010","Carmarthenshire","W01000716","Carmarthenshire 016D",94500
"W06000010","Carmarthenshire","W01000641","Carmarthenshire 008A",95000
"W06000010","Carmarthenshire","W01000651","Carmarthenshire 020A",95000
"W06000010","Carmarthenshire","W01000657","Carmarthenshire 010B",95000
"W06000010","Carmarthenshire","W01000719","Carmarthenshire 010E",97500
"W06000010","Carmarthenshire","W01000658","Carmarthenshire 010C",98000
"W06000010","Carmarthenshire","W01000729","Carmarthenshire 018C",99000
"W06000010","Carmarthenshire","W01000625","Carmarthenshire 013A",100000
"W06000010","Carmarthenshire","W01000630","Carmarthenshire 024C",103000
"W06000010","Carmarthenshire","W01000708","Carmarthenshire 025E",103000
"W06000010","Carmarthenshire","W01000670","Carmarthenshire 018A",105000
"W06000010","Carmarthenshire","W01000714","Carmarthenshire 013D",105000
"W06000010","Carmarthenshire","W01000705","Carmarthenshire 022C",107000
"W06000010","Carmarthenshire","W01000727","Carmarthenshire 019E",109000
"W06000010","Carmarthenshire","W01000679","Carmarthenshire 002D",112250
"W06000010","Carmarthenshire","W01000690","Carmarthenshire 019A",114000
"W06000010","Carmarthenshire","W01000706","Carmarthenshire 025C",114100
"W06000010","Carmarthenshire","W01000628","Carmarthenshire 024A",115000
"W06000010","Carmarthenshire","W01000633","Carmarthenshire 021B",115000
"W06000010","Carmarthenshire","W01000711","Carmarthenshire 021E",116500
"W06000010","Carmarthenshire","W01000685","Carmarthenshire 001A",120000
"W06000010","Carmarthenshire","W01000713","Carmarthenshire 015E",120623
"W06000010","Carmarthenshire","W01000659","Carmarthenshire 026A",121000
"W06000010","Carmarthenshire","W01000667","Carmarthenshire 023C",123000
"W06000010","Carmarthenshire","W01000662","Carmarthenshire 016A",124995
"W06000010","Carmarthenshire","W01000695","Carmarthenshire 012B",125000
"W06000010","Carmarthenshire","W01000698","Carmarthenshire 015B",125000
"W06000010","Carmarthenshire","W01000702","Carmarthenshire 001D",126975
