"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E06000015","Derby","E01013484","Derby 018C",71000
"E06000015","Derby","E01013480","Derby 016A",75000
"E06000015","Derby","E01013487","Derby 018E",76000
"E06000015","Derby","E01013566","Derby 016E",76000
"E06000015","Derby","E01013570","Derby 023A",79950
"E06000015","Derby","E01013591","Derby 026F",80000
"E06000015","Derby","E01013485","Derby 016C",81000
"E06000015","Derby","E01013568","Derby 020C",82500
"E06000015","Derby","E01013460","Derby 013E",84000
"E06000015","Derby","E01013481","Derby 018A",85000
"E06000015","Derby","E01013565","Derby 016D",90000
"E06000015","Derby","E01013567","Derby 020B",91000
"E06000015","Derby","E01013471","Derby 025A",91750
"E06000015","Derby","E01013456","Derby 013C",92000
"E06000015","Derby","E01013538","Derby 007E",92250
"E06000015","Derby","E01013536","Derby 007C",95000
"E06000015","Derby","E01013535","Derby 007B",95000
"E06000015","Derby","E01013571","Derby 023B",96500
"E06000015","Derby","E01013533","Derby 007A",97000
"E06000015","Derby","E01013453","Derby 013A",99000
"E06000015","Derby","E01013473","Derby 025B",100000
"E06000015","Derby","E01013486","Derby 018D",101250
"E06000015","Derby","E01013457","Derby 013D",102750
"E06000015","Derby","E01013454","Derby 013B",104250
"E06000015","Derby","E01033167","Derby 018G",105000
"E06000015","Derby","E01013573","Derby 023D",105000
"E06000015","Derby","E01013504","Derby 026C",106500
"E06000015","Derby","E01013583","Derby 026D",108000
"E06000015","Derby","E01013532","Derby 004C",108975
"E06000015","Derby","E01013551","Derby 011C",109000
"E06000015","Derby","E01013547","Derby 011A",109725
"E06000015","Derby","E01013554","Derby 011D",110000
"E06000015","Derby","E01013588","Derby 029E",110000
"E06000015","Derby","E01013496","Derby 028A",110250
"E06000015","Derby","E01013477","Derby 025D",110500
"E06000015","Derby","E01013472","Derby 026A",110750
"E06000015","Derby","E01013531","Derby 004B",112500
"E06000015","Derby","E01013474","Derby 024B",113000
"E06000015","Derby","E01013569","Derby 020D",113500
"E06000015","Derby","E01013521","Derby 030D",116250
"E06000015","Derby","E01013549","Derby 009B",117500
"E06000015","Derby","E01013522","Derby 008A",118250
"E06000015","Derby","E01013479","Derby 013F",118996
"E06000015","Derby","E01013475","Derby 025C",119000
"E06000015","Derby","E01013510","Derby 012D",119000
"E06000015","Derby","E01013508","Derby 012B",120000
"E06000015","Derby","E01013512","Derby 012F",120000
"E06000015","Derby","E01013590","Derby 026E",120000
"E06000015","Derby","E01013584","Derby 029A",120000
"E06000015","Derby","E01013494","Derby 027C",122000
"E06000015","Derby","E01013524","Derby 008C",122500
"E06000015","Derby","E01013537","Derby 007D",122950
"E06000015","Derby","E01013499","Derby 028C",123000
"E06000015","Derby","E01013581","Derby 004D",123750
"E06000015","Derby","E01013582","Derby 006E",124250
"E06000015","Derby","E01033172","Derby 024F",125000
"E06000015","Derby","E01013497","Derby 026B",125000
"E06000015","Derby","E01013509","Derby 012C",125000
"E06000015","Derby","E01013553","Derby 009D",125000
"E06000015","Derby","E01013552","Derby 009C",125000
"E06000015","Derby","E01013572","Derby 023C",125000
"E06000015","Derby","E01013503","Derby 025F",126000
"E06000015","Derby","E01013586","Derby 029C",126000
"E06000015","Derby","E01033171","Derby 024E",127500
"E06000015","Derby","E01013585","Derby 029B",127500
"E06000015","Derby","E01013597","Derby 014C",127500
"E06000015","Derby","E01013550","Derby 011B",128000
"E06000015","Derby","E01013476","Derby 024C",129000
"E06000015","Derby","E01013513","Derby 006C",129950
"E06000015","Derby","E01013587","Derby 029D",133000
"E06000015","Derby","E01013595","Derby 014B",133000
"E06000015","Derby","E01013598","Derby 014D",133000
"E06000015","Derby","E01013523","Derby 008B",135000
"E06000015","Derby","E01013548","Derby 009A",135000
"E06000015","Derby","E01013502","Derby 025E",139950
"E06000015","Derby","E01013498","Derby 028B",139975
"E06000015","Derby","E01013534","Derby 006D",140000
"E06000015","Derby","E01013493","Derby 027B",142000
"E06000015","Derby","E01013500","Derby 028D",144950
"E06000015","Derby","E01013455","Derby 017A",145000
"E06000015","Derby","E01013505","Derby 006A",145500
"E06000015","Derby","E01033166","Derby 018F",148950
"E06000015","Derby","E01013530","Derby 004A",149450
"E06000015","Derby","E01013495","Derby 027D",149950
"E06000015","Derby","E01013470","Derby 024A",150000
"E06000015","Derby","E01013592","Derby 010A",151000
"E06000015","Derby","E01013589","Derby 029F",151500
"E06000015","Derby","E01013541","Derby 021B",154000
"E06000015","Derby","E01013458","Derby 017B",155000
"E06000015","Derby","E01013483","Derby 016B",155000
"E06000015","Derby","E01013517","Derby 030B",155000
"E06000015","Derby","E01033170","Derby 030G",155500
"E06000015","Derby","E01013580","Derby 003G",156000
"E06000015","Derby","E01013559","Derby 015D",156500
"E06000015","Derby","E01013491","Derby 022D",157500
"E06000015","Derby","E01013563","Derby 019E",160750
"E06000015","Derby","E01013507","Derby 012A",161500
"E06000015","Derby","E01013501","Derby 028E",163125
"E06000015","Derby","E01013459","Derby 020A",164250
"E06000015","Derby","E01013518","Derby 030C",165000
"E06000015","Derby","E01013529","Derby 005D",165000
"E06000015","Derby","E01013525","Derby 008D",165500
"E06000015","Derby","E01013511","Derby 012E",167000
"E06000015","Derby","E01013506","Derby 006B",168000
"E06000015","Derby","E01013593","Derby 014A",171000
"E06000015","Derby","E01013575","Derby 003B",175000
"E06000015","Derby","E01013599","Derby 010D",175000
"E06000015","Derby","E01013556","Derby 015A",177000
"E06000015","Derby","E01013594","Derby 010B",178000
"E06000015","Derby","E01013558","Derby 015C",179250
"E06000015","Derby","E01013515","Derby 031B",180000
"E06000015","Derby","E01013579","Derby 003F",186250
"E06000015","Derby","E01013545","Derby 021E",190000
"E06000015","Derby","E01013489","Derby 022B",192000
"E06000015","Derby","E01013492","Derby 027A",192000
"E06000015","Derby","E01013469","Derby 002E",195000
"E06000015","Derby","E01013562","Derby 019D",195000
"E06000015","Derby","E01013561","Derby 019C",195000
"E06000015","Derby","E01013564","Derby 015E",197000
"E06000015","Derby","E01013546","Derby 017D",197995
"E06000015","Derby","E01013596","Derby 010C",199000
"E06000015","Derby","E01013488","Derby 022A",199500
"E06000015","Derby","E01013577","Derby 003D",205000
"E06000015","Derby","E01013578","Derby 003E",207000
"E06000015","Derby","E01013543","Derby 021C",210000
"E06000015","Derby","E01013540","Derby 019A",210500
"E06000015","Derby","E01013467","Derby 002C",216000
"E06000015","Derby","E01013555","Derby 009E",219995
"E06000015","Derby","E01013526","Derby 005A",220000
"E06000015","Derby","E01013557","Derby 015B",220000
"E06000015","Derby","E01013519","Derby 031C",222475
"E06000015","Derby","E01013462","Derby 001B",224750
"E06000015","Derby","E01013464","Derby 001D",225000
"E06000015","Derby","E01013542","Derby 017C",225995
"E06000015","Derby","E01013576","Derby 003C",226000
"E06000015","Derby","E01013560","Derby 019B",228975
"E06000015","Derby","E01013574","Derby 003A",230000
"E06000015","Derby","E01013514","Derby 031A",232500
"E06000015","Derby","E01013468","Derby 002D",236000
"E06000015","Derby","E01013461","Derby 001A",240000
"E06000015","Derby","E01013465","Derby 002A",245250
"E06000015","Derby","E01013490","Derby 022C",248000
"E06000015","Derby","E01013520","Derby 031D",265000
"E06000015","Derby","E01013527","Derby 005B",265000
"E06000015","Derby","E01013463","Derby 001C",270000
"E06000015","Derby","E01033168","Derby 030E",270000
"E06000015","Derby","E01013528","Derby 005C",277000
"E06000015","Derby","E01013466","Derby 002B",285000
"E06000015","Derby","E01033169","Derby 030F",290000
"E06000015","Derby","E01013544","Derby 021D",296000
"E06000015","Derby","E01013539","Derby 021A",312500
