"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"W06000018","Caerphilly","W01001386","Caerphilly 002E",59250
"W06000018","Caerphilly","W01001384","Caerphilly 002C",62250
"W06000018","Caerphilly","W01001376","Caerphilly 001C",65250
"W06000018","Caerphilly","W01001385","Caerphilly 002D",68000
"W06000018","Caerphilly","W01001375","Caerphilly 001B",72500
"W06000018","Caerphilly","W01001345","Caerphilly 021C",72950
"W06000018","Caerphilly","W01001338","Caerphilly 004C",74500
"W06000018","Caerphilly","W01001334","Caerphilly 005A",75000
"W06000018","Caerphilly","W01001336","Caerphilly 004A",75000
"W06000018","Caerphilly","W01001374","Caerphilly 001A",75000
"W06000018","Caerphilly","W01001326","Caerphilly 003B",77500
"W06000018","Caerphilly","W01001381","Caerphilly 010B",78000
"W06000018","Caerphilly","W01001333","Caerphilly 018D",78500
"W06000018","Caerphilly","W01001406","Caerphilly 001D",78500
"W06000018","Caerphilly","W01001402","Caerphilly 011B",83975
"W06000018","Caerphilly","W01001362","Caerphilly 003C",85000
"W06000018","Caerphilly","W01001429","Caerphilly 001F",85000
"W06000018","Caerphilly","W01001359","Caerphilly 006D",85500
"W06000018","Caerphilly","W01001360","Caerphilly 002A",86500
"W06000018","Caerphilly","W01001332","Caerphilly 018C",89000
"W06000018","Caerphilly","W01001337","Caerphilly 004B",89250
"W06000018","Caerphilly","W01001329","Caerphilly 014C",94250
"W06000018","Caerphilly","W01001431","Caerphilly 015C",95000
"W06000018","Caerphilly","W01001415","Caerphilly 008B",96500
"W06000018","Caerphilly","W01001348","Caerphilly 009A",98900
"W06000018","Caerphilly","W01001352","Caerphilly 007A",99498
"W06000018","Caerphilly","W01001377","Caerphilly 013A",99750
"W06000018","Caerphilly","W01001430","Caerphilly 015B",100000
"W06000018","Caerphilly","W01001387","Caerphilly 007C",100250
"W06000018","Caerphilly","W01001408","Caerphilly 016B",101000
"W06000018","Caerphilly","W01001383","Caerphilly 010D",105000
"W06000018","Caerphilly","W01001331","Caerphilly 018B",106475
"W06000018","Caerphilly","W01001364","Caerphilly 012B",108000
"W06000018","Caerphilly","W01001382","Caerphilly 010C",109975
"W06000018","Caerphilly","W01001328","Caerphilly 014B",110000
"W06000018","Caerphilly","W01001378","Caerphilly 013B",110000
"W06000018","Caerphilly","W01001403","Caerphilly 011C",110000
"W06000018","Caerphilly","W01001407","Caerphilly 016A",111000
"W06000018","Caerphilly","W01001350","Caerphilly 009C",112000
"W06000018","Caerphilly","W01001392","Caerphilly 009D",112000
"W06000018","Caerphilly","W01001433","Caerphilly 013E",112000
"W06000018","Caerphilly","W01001391","Caerphilly 006F",113000
"W06000018","Caerphilly","W01001367","Caerphilly 019B",114000
"W06000018","Caerphilly","W01001409","Caerphilly 016C",114000
"W06000018","Caerphilly","W01001335","Caerphilly 005B",115000
"W06000018","Caerphilly","W01001355","Caerphilly 015A",115000
"W06000018","Caerphilly","W01001418","Caerphilly 008E",115000
"W06000018","Caerphilly","W01001412","Caerphilly 017B",116000
"W06000018","Caerphilly","W01001356","Caerphilly 006A",116500
"W06000018","Caerphilly","W01001325","Caerphilly 003A",117000
"W06000018","Caerphilly","W01001414","Caerphilly 008A",117000
"W06000018","Caerphilly","W01001416","Caerphilly 008C",117000
"W06000018","Caerphilly","W01001330","Caerphilly 018A",117500
"W06000018","Caerphilly","W01001346","Caerphilly 020D",118500
"W06000018","Caerphilly","W01001347","Caerphilly 005C",119000
"W06000018","Caerphilly","W01001365","Caerphilly 012C",119000
"W06000018","Caerphilly","W01001354","Caerphilly 014D",119975
"W06000018","Caerphilly","W01001400","Caerphilly 019F",120000
"W06000018","Caerphilly","W01001341","Caerphilly 020B",121750
"W06000018","Caerphilly","W01001327","Caerphilly 014A",125000
"W06000018","Caerphilly","W01001369","Caerphilly 012D",125000
"W06000018","Caerphilly","W01001393","Caerphilly 019D",127500
"W06000018","Caerphilly","W01001411","Caerphilly 017A",128000
"W06000018","Caerphilly","W01001395","Caerphilly 023C",130000
"W06000018","Caerphilly","W01001410","Caerphilly 016D",131625
"W06000018","Caerphilly","W01001413","Caerphilly 017C",133500
"W06000018","Caerphilly","W01001420","Caerphilly 022D",133750
"W06000018","Caerphilly","W01001388","Caerphilly 007D",136750
"W06000018","Caerphilly","W01001353","Caerphilly 007B",138225
"W06000018","Caerphilly","W01001405","Caerphilly 011E",138750
"W06000018","Caerphilly","W01001404","Caerphilly 011D",139950
"W06000018","Caerphilly","W01001370","Caerphilly 023A",140500
"W06000018","Caerphilly","W01001389","Caerphilly 007E",141250
"W06000018","Caerphilly","W01001373","Caerphilly 022C",141475
"W06000018","Caerphilly","W01001379","Caerphilly 013C",142500
"W06000018","Caerphilly","W01001380","Caerphilly 010A",143500
"W06000018","Caerphilly","W01001396","Caerphilly 023D",145475
"W06000018","Caerphilly","W01001366","Caerphilly 019A",145875
"W06000018","Caerphilly","W01001424","Caerphilly 024C",146875
"W06000018","Caerphilly","W01001372","Caerphilly 022B",147000
"W06000018","Caerphilly","W01001399","Caerphilly 023E",147500
"W06000018","Caerphilly","W01001417","Caerphilly 008D",148500
"W06000018","Caerphilly","W01001351","Caerphilly 005D",151000
"W06000018","Caerphilly","W01001339","Caerphilly 004D",151475
"W06000018","Caerphilly","W01001358","Caerphilly 006C",152000
"W06000018","Caerphilly","W01001401","Caerphilly 011A",155000
"W06000018","Caerphilly","W01001425","Caerphilly 024D",156250
"W06000018","Caerphilly","W01001342","Caerphilly 021A",157500
"W06000018","Caerphilly","W01001343","Caerphilly 021B",158000
"W06000018","Caerphilly","W01001397","Caerphilly 019E",159975
"W06000018","Caerphilly","W01001423","Caerphilly 024B",160000
"W06000018","Caerphilly","W01001344","Caerphilly 020C",163500
"W06000018","Caerphilly","W01001432","Caerphilly 013D",165000
"W06000018","Caerphilly","W01001349","Caerphilly 009B",165500
"W06000018","Caerphilly","W01001434","Caerphilly 013F",172000
"W06000018","Caerphilly","W01001390","Caerphilly 006E",175000
"W06000018","Caerphilly","W01001422","Caerphilly 022F",176000
"W06000018","Caerphilly","W01001394","Caerphilly 023B",179950
"W06000018","Caerphilly","W01001427","Caerphilly 024F",180000
"W06000018","Caerphilly","W01001363","Caerphilly 012A",184995
"W06000018","Caerphilly","W01001357","Caerphilly 006B",186000
"W06000018","Caerphilly","W01001426","Caerphilly 024E",190000
"W06000018","Caerphilly","W01001340","Caerphilly 020A",193600
"W06000018","Caerphilly","W01001398","Caerphilly 024A",195000
"W06000018","Caerphilly","W01001368","Caerphilly 019C",214995
"W06000018","Caerphilly","W01001371","Caerphilly 022A",238000
"W06000018","Caerphilly","W01001419","Caerphilly 021D",360000
"W06000018","Caerphilly","W01001361","Caerphilly 002B",NA
"W06000018","Caerphilly","W01001421","Caerphilly 022E",NA
"W06000018","Caerphilly","W01001428","Caerphilly 001E",NA
