"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E06000023","Bristol, City of","E01014485","Bristol 023A","323500"
"E06000023","Bristol, City of","E01033348","Bristol 023G","145000"
"E06000023","Bristol, City of","E01033366","Bristol 023H","120000"
"E06000023","Bristol, City of","E01014486","Bristol 023B","265000"
"E06000023","Bristol, City of","E01014491","Bristol 020B","315000"
"E06000023","Bristol, City of","E01014487","Bristol 020A","335000"
"E06000023","Bristol, City of","E01014488","Bristol 023C","430600"
"E06000023","Bristol, City of","E01014489","Bristol 023D","263500"
"E06000023","Bristol, City of","E01014495","Bristol 008D","225000"
"E06000023","Bristol, City of","E01014493","Bristol 008B","224500"
"E06000023","Bristol, City of","E01014497","Bristol 003A","200000"
"E06000023","Bristol, City of","E01014499","Bristol 008F","203750"
"E06000023","Bristol, City of","E01014492","Bristol 008A","228000"
"E06000023","Bristol, City of","E01014494","Bristol 008C","254500"
"E06000023","Bristol, City of","E01014496","Bristol 008E","183250"
"E06000023","Bristol, City of","E01014498","Bristol 003B","199000"
"E06000023","Bristol, City of","E01014504","Bristol 041B","340000"
"E06000023","Bristol, City of","E01033362","Bristol 039G","215000"
"E06000023","Bristol, City of","E01033364","Bristol 039H","294500"
"E06000023","Bristol, City of","E01014505","Bristol 041C","326900"
"E06000023","Bristol, City of","E01014506","Bristol 041D","345000"
"E06000023","Bristol, City of","E01014502","Bristol 039B","304000"
"E06000023","Bristol, City of","E01014501","Bristol 041A","263000"
"E06000023","Bristol, City of","E01014500","Bristol 039A","265000"
"E06000023","Bristol, City of","E01014509","Bristol 016C","320000"
"E06000023","Bristol, City of","E01014508","Bristol 016B","328500"
"E06000023","Bristol, City of","E01014514","Bristol 016G","413250"
"E06000023","Bristol, City of","E01014513","Bristol 016F","500000"
"E06000023","Bristol, City of","E01014507","Bristol 016A","461250"
"E06000023","Bristol, City of","E01014510","Bristol 010A","359950"
"E06000023","Bristol, City of","E01014511","Bristol 016D","565000"
"E06000023","Bristol, City of","E01014512","Bristol 016E","590000"
"E06000023","Bristol, City of","E01014521","Bristol 046D","243750"
"E06000023","Bristol, City of","E01014522","Bristol 050D","219500"
"E06000023","Bristol, City of","E01014516","Bristol 050B","197500"
"E06000023","Bristol, City of","E01014515","Bristol 050A","253250"
"E06000023","Bristol, City of","E01014517","Bristol 050C","185000"
"E06000023","Bristol, City of","E01014518","Bristol 046A","240000"
"E06000023","Bristol, City of","E01014520","Bristol 046C","284250"
"E06000023","Bristol, City of","E01014519","Bristol 046B","268750"
"E06000023","Bristol, City of","E01014523","Bristol 038A","245000"
"E06000023","Bristol, City of","E01014527","Bristol 038E","256500"
"E06000023","Bristol, City of","E01014530","Bristol 035C","230500"
"E06000023","Bristol, City of","E01014526","Bristol 038D","232500"
"E06000023","Bristol, City of","E01014528","Bristol 035A","233116"
"E06000023","Bristol, City of","E01014529","Bristol 035B","202500"
"E06000023","Bristol, City of","E01014524","Bristol 038B","235000"
"E06000023","Bristol, City of","E01014525","Bristol 038C","278500"
"E06000023","Bristol, City of","E01014532","Bristol 035E","282000"
"E06000023","Bristol, City of","E01014536","Bristol 043D","202500"
"E06000023","Bristol, City of","E01014535","Bristol 043C","271700"
"E06000023","Bristol, City of","E01014534","Bristol 043B","300000"
"E06000023","Bristol, City of","E01014537","Bristol 035F","200000"
"E06000023","Bristol, City of","E01014531","Bristol 035D","300000"
"E06000023","Bristol, City of","E01014533","Bristol 043A","316500"
"E06000023","Bristol, City of","E01033367","Bristol 025F","277500"
"E06000023","Bristol, City of","E01014538","Bristol 032A","320000"
"E06000023","Bristol, City of","E01014539","Bristol 025A","455000"
"E06000023","Bristol, City of","E01014542","Bristol 032C","279300"
"E06000023","Bristol, City of","E01033342","Bristol 025E","231475"
"E06000023","Bristol, City of","E01033344","Bristol 032E","276000"
"E06000023","Bristol, City of","E01014540","Bristol 032B","356000"
"E06000023","Bristol, City of","E01033350","Bristol 032G","310500"
"E06000023","Bristol, City of","E01014548","Bristol 034A","289975"
"E06000023","Bristol, City of","E01014550","Bristol 034C","390000"
"E06000023","Bristol, City of","E01014546","Bristol 030C","383750"
"E06000023","Bristol, City of","E01014547","Bristol 030D","480000"
"E06000023","Bristol, City of","E01014549","Bristol 034B","347250"
"E06000023","Bristol, City of","E01014544","Bristol 030A","614938"
"E06000023","Bristol, City of","E01014545","Bristol 030B","510000"
"E06000023","Bristol, City of","E01014556","Bristol 026E","390000"
"E06000023","Bristol, City of","E01014555","Bristol 034D","313750"
"E06000023","Bristol, City of","E01014554","Bristol 026D","360000"
"E06000023","Bristol, City of","E01014551","Bristol 026A","370000"
"E06000023","Bristol, City of","E01014553","Bristol 026C","400000"
"E06000023","Bristol, City of","E01014552","Bristol 026B","415000"
"E06000023","Bristol, City of","E01014563","Bristol 025D","307500"
"E06000023","Bristol, City of","E01014557","Bristol 022A","416050"
"E06000023","Bristol, City of","E01014559","Bristol 022C","485000"
"E06000023","Bristol, City of","E01014560","Bristol 022D","388000"
"E06000023","Bristol, City of","E01014558","Bristol 022B","319000"
"E06000023","Bristol, City of","E01014561","Bristol 025C","332500"
"E06000023","Bristol, City of","E01014562","Bristol 022E","358500"
"E06000023","Bristol, City of","E01014570","Bristol 057C","297000"
"E06000023","Bristol, City of","E01014565","Bristol 029A","264375"
"E06000023","Bristol, City of","E01014569","Bristol 057B","287000"
"E06000023","Bristol, City of","E01014568","Bristol 057A","280000"
"E06000023","Bristol, City of","E01014564","Bristol 055A","277500"
"E06000023","Bristol, City of","E01014566","Bristol 029B","251034.5"
"E06000023","Bristol, City of","E01014567","Bristol 029C","246500"
"E06000023","Bristol, City of","E01014573","Bristol 019B","260500"
"E06000023","Bristol, City of","E01014576","Bristol 019D","255500"
"E06000023","Bristol, City of","E01014571","Bristol 012A","257500"
"E06000023","Bristol, City of","E01014574","Bristol 057D","211500"
"E06000023","Bristol, City of","E01014575","Bristol 019C","229500"
"E06000023","Bristol, City of","E01014577","Bristol 012B","267500"
"E06000023","Bristol, City of","E01014572","Bristol 019A","241710"
"E06000023","Bristol, City of","E01014581","Bristol 045C","175000"
"E06000023","Bristol, City of","E01014582","Bristol 045D","203750"
"E06000023","Bristol, City of","E01014578","Bristol 044A","225000"
"E06000023","Bristol, City of","E01014579","Bristol 045A","219000"
"E06000023","Bristol, City of","E01014584","Bristol 045E","192500"
"E06000023","Bristol, City of","E01014585","Bristol 044C","165500"
"E06000023","Bristol, City of","E01014583","Bristol 044B","201500"
"E06000023","Bristol, City of","E01014580","Bristol 045B","182500"
"E06000023","Bristol, City of","E01014588","Bristol 013A","186000"
"E06000023","Bristol, City of","E01014587","Bristol 012D","250000"
