"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"W06000023","Powys","W01000426","Powys 021A","127475"
"W06000023","Powys","W01000452","Powys 004B","165000"
"W06000023","Powys","W01000427","Powys 011A","170000"
"W06000023","Powys","W01000428","Powys 005A","205000"
"W06000023","Powys","W01000429","Powys 010A","235000"
"W06000023","Powys","W01000430","Powys 015A","225000"
"W06000023","Powys","W01000432","Powys 014B","184000"
"W06000023","Powys","W01000431","Powys 014A","130000"
"W06000023","Powys","W01001905","Powys 018H","284950"
"W06000023","Powys","W01000433","Powys 006A","185000"
"W06000023","Powys","W01000434","Powys 007A","237750"
"W06000023","Powys","W01001903","Powys 018F","245000"
"W06000023","Powys","W01001904","Powys 018G","259975"
"W06000023","Powys","W01001899","Powys 021F","106000"
"W06000023","Powys","W01000438","Powys 012A","186750"
"W06000023","Powys","W01000439","Powys 007B","207500"
"W06000023","Powys","W01000440","Powys 020A","290000"
"W06000023","Powys","W01000441","Powys 005B","207500"
"W06000023","Powys","W01000442","Powys 004A","162500"
"W06000023","Powys","W01000443","Powys 015B","198000"
"W06000023","Powys","W01000444","Powys 002A","169750"
"W06000023","Powys","W01000445","Powys 015C","235833"
"W06000023","Powys","W01000446","Powys 015D","220000"
"W06000023","Powys","W01000447","Powys 007C","195000"
"W06000023","Powys","W01000448","Powys 011B","182500"
"W06000023","Powys","W01000449","Powys 011C","166500"
"W06000023","Powys","W01000450","Powys 014C","247000"
"W06000023","Powys","W01000451","Powys 012B","206000"
"W06000023","Powys","W01000453","Powys 010B","194975"
"W06000023","Powys","W01000454","Powys 013A","170000"
"W06000023","Powys","W01000455","Powys 013B","141000"
"W06000023","Powys","W01000456","Powys 013C","174000"
"W06000023","Powys","W01000457","Powys 002B","230000"
"W06000023","Powys","W01000458","Powys 002C","160000"
"W06000023","Powys","W01000459","Powys 014D","232500"
"W06000023","Powys","W01000460","Powys 006B","133497.5"
"W06000023","Powys","W01000475","Powys 001E","269950"
"W06000023","Powys","W01000461","Powys 001A","196000"
"W06000023","Powys","W01000464","Powys 011D","226000"
"W06000023","Powys","W01000465","Powys 018E","247500"
"W06000023","Powys","W01000467","Powys 010D","121000"
"W06000023","Powys","W01000466","Powys 010C","128000"
"W06000023","Powys","W01001906","Powys 001F","211250"
"W06000023","Powys","W01001907","Powys 001G","265000"
"W06000023","Powys","W01000470","Powys 001D","173000"
"W06000023","Powys","W01000471","Powys 014E","208000"
"W06000023","Powys","W01000472","Powys 012C","187500"
"W06000023","Powys","W01000473","Powys 004C","140000"
"W06000023","Powys","W01000474","Powys 020B","155000"
"W06000023","Powys","W01000476","Powys 005C","199975"
"W06000023","Powys","W01000477","Powys 012D","242475"
"W06000023","Powys","W01000479","Powys 009B","99500"
"W06000023","Powys","W01000478","Powys 009A","106500"
"W06000023","Powys","W01000480","Powys 008A","110000"
"W06000023","Powys","W01000481","Powys 008B","155000"
"W06000023","Powys","W01000482","Powys 008C","150500"
"W06000023","Powys","W01000483","Powys 009C","130000"
"W06000023","Powys","W01000484","Powys 011E","259216"
"W06000023","Powys","W01000485","Powys 011F","186250"
"W06000023","Powys","W01000486","Powys 011G","170000"
"W06000023","Powys","W01000487","Powys 012E","132000"
"W06000023","Powys","W01000488","Powys 006C","175000"
"W06000023","Powys","W01000489","Powys 017A","165250"
"W06000023","Powys","W01001901","Powys 017F","201250"
"W06000023","Powys","W01001902","Powys 017G","140500"
"W06000023","Powys","W01000493","Powys 017E","255000"
"W06000023","Powys","W01000492","Powys 017D","128000"
"W06000023","Powys","W01000494","Powys 015E","188000"
"W06000023","Powys","W01001897","Powys 020D","265000"
"W06000023","Powys","W01000496","Powys 021B","139950"
"W06000023","Powys","W01000497","Powys 005D","170750"
"W06000023","Powys","W01000498","Powys 003A","185000"
"W06000023","Powys","W01000499","Powys 003B","134500"
"W06000023","Powys","W01000500","Powys 003C","145000"
"W06000023","Powys","W01000501","Powys 003D","144500"
"W06000023","Powys","W01000502","Powys 021C","138000"
"W06000023","Powys","W01000503","Powys 020C","295000"
"W06000023","Powys","W01000505","Powys 021E","105000"
"W06000023","Powys","W01000504","Powys 021D","88000"
